Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"De Nolf, Kim; Cosseddu, Salvatore M; Jasieniak, Jacek J; Drijvers, Emile; Martins, José C; Infante, Ivan; Hens, Zeger; ",Binding and packing in two-component colloidal quantum dot ligand shells: linear versus branched carboxylates,Journal of the American Chemical Society,139,9,3456-3464,2017,American Chemical Society
"Giansante, Carlo; Infante, Ivan; ",Surface traps in colloidal quantum dots: a combined experimental and theoretical perspective,The journal of physical chemistry letters,8,20,5209-5215,2017,American Chemical Society
"Geiregat, Pieter; Houtepen, Arjan; Sagar, Laxmi Kishore; Infante, Ivan; Zapata, Felipe; Grigel, Valeriia; Allan, Guy; Delerue, Christophe; Van Thourhout, Dries; Hens, Zeger; ",Continuous-wave infrared optical gain and amplified spontaneous emission at ultralow threshold by colloidal HgTe quantum dots,Nature Materials,17,,35-42,2018,Springer Nature
"Drijvers, Emile; De Roo, Jonathan; Martins, Jose C; Infante, Ivan; Hens, Zeger; ",Ligand displacement exposes binding site heterogeneity on CdSe nanocrystal surfaces,Chemistry of Materials,30,3,1178-1186,2018,American Chemical Society
"Yazdani, Nuri; Bozyigit, Deniz; Vuttivorakulchai, Kantawong; Luisier, Mathieu; Infante, Ivan; Wood, Vanessa; ",Tuning electron–phonon interactions in nanocrystals through surface termination,Nano letters,18,4,2233-2242,2018,American Chemical Society
"Krieg, Franziska; Ochsenbein, Stefan T; Yakunin, Sergii; Ten Brinck, Stephanie; Aellen, Philipp; Suess, Adrian; Clerc, Baptiste; Guggisberg, Dominic; Nazarenko, Olga; Shynkarenko, Yevhen; ","Colloidal CsPbX3 (X= Cl, Br, I) nanocrystals 2.0: Zwitterionic capping ligands for improved durability and stability",ACS energy letters,3,3,641-646,2018,American Chemical Society
"Grimaldi, Gianluca; Crisp, Ryan W; Ten Brinck, Stephanie; Zapata, Felipe; Van Ouwendorp, Michiko; Renaud, Nicolas; Kirkwood, Nicholas; Evers, Wiel H; Kinge, Sachin; Infante, Ivan; ",Hot-electron transfer in quantum-dot heterojunction films,Nature communications,9,1,2310,2018,Nature Publishing Group UK London
"Hamlin, Trevor A; Svatunek, Dennis; Yu, Song; Ridder, Lars; Infante, Ivan; Visscher, Lucas; Bickelhaupt, F Matthias; ","Elucidating the Trends in Reactivity of Aza‐1, 3‐Dipolar Cycloadditions",European Journal of Organic Chemistry,,,,2018,
"Benin, Bogdan M; Dirin, Dmitry N; Morad, Viktoriia; Wörle, Michael; Yakunin, Sergii; Rainò, Gabriele; Nazarenko, Olga; Fischer, Markus; Infante, Ivan; Kovalenko, Maksym V; ",Highly emissive self‐trapped excitons in fully inorganic zero‐dimensional tin halides,Angewandte Chemie International Edition,57,35,11329-11333,2018,
"Wang, Hai I; Infante, Ivan; Brinck, Stephanie ten; Cánovas, Enrique; Bonn, Mischa; ",Efficient hot electron transfer in quantum dot-sensitized mesoporous oxides at room temperature,Nano Letters,18,8,5111-5115,2018,American Chemical Society
